productid,productname,productprice,customerid,customername,quantity,totalprice,area
142,Lightning Gift,433,920,Vishwam,2,500,Vadodra
116,Visiting Card,1170,920,Deep,6,6966,Ahmedabad
118,Sipper,624,915,Dhyey,79,5568,Ahmedabad
119,Visiting Card,1299,916,Vishwam,6,4445,Ahmedabad
113,Office Gifts,463,916,Jkl,2,500,Ahmedabad
132,Phone Cases,746,913,Jkl,2,1537,Vadodra
113,Lippan Art,354,919,Vishwam,9,500,Vadodra
146,Office Gifts,203,911,Naitik,2,500,Surat
160,Animal Toys,425,919,Ghi,2,500,Nadiad
112,Show Piece,495,914,Def,10,6827,Ahmedabad
144,Sipper,664,913,Def,2,1878,Nadiad
116,Lippan Art,257,914,Deep,2,1145,Ahmedabad
133,Photo Frames,453,921,Naitik,2,500,Matar
159,Lightning Gift,454,919,Dhruv,29,6767,Nadiad
112,Show Piece,100,917,Dhyey,26,1411,Surat
113,Banner Printing,157,911,Dhruv,2,500,Matar
112,Sipper,318,914,Dev,27,1588,Ahmedabad
145,Visiting Card,612,917,Jkl,28,500,Vadodra
135,Hoardings,149,919,Zaki,2,819,Surat
111,Visiting Card,507,917,Dhyey,100,5298,Kheda
148,Phone Cases,564,911,Vishwam,2,7322,Vadodra
157,Hoardings,496,916,Def,4,1850,Surat
129,Customized Bottle,458,915,Zaki,28,6117,Nadiad
138,Banner Printing,100,911,Naitik,2,856,Surat
119,Sipper,555,920,Dhruv,9,500,Kheda
120,Hoardings,100,913,Dhruv,13,2241,Kheda
142,Hoardings,218,917,Vishwam,53,500,Surat
115,Lippan Art,517,914,Vishwam,3,5809,Kheda
140,Photo Frames,540,919,Dhyey,84,500,Vadodra
129,Lightning Gift,738,922,Jkl,3,1873,Vadodra
126,Banner Printing,365,913,Vishwam,4,861,Surat
132,Phone Cases,478,918,Jkl,2,1187,Vadodra
161,Show Piece,639,911,Def,46,15884,Matar
117,Lightning Gift,151,917,Naitik,100,500,Surat
116,Office Gifts,284,911,Naitik,4,1565,Ahmedabad
117,Photo Frames,505,917,Dhyey,3,1778,Ahmedabad
145,Lightning Gift,510,917,Jkl,2,892,Nadiad
159,Customized Bottle,593,912,Dev,5,9065,Ahmedabad
125,Show Piece,1299,917,Dev,4,9264,Ahmedabad
140,Hoardings,575,920,Jkl,2,500,Vadodra
122,Hoardings,171,914,Vishwam,4,500,Surat
126,Photo Frames,578,919,Dhyey,2,500,Matar
119,Sipper,100,911,Naitik,2,1196,Matar
116,Lippan Art,433,917,Vishwam,10,582,Surat
113,Show Piece,464,919,Dhyey,8,1038,Ahmedabad
110,Animal Toys,646,918,Vishwam,2,500,Ahmedabad
129,Animal Toys,507,916,Jkl,9,4028,Kheda
113,Photo Frames,100,918,Zaki,15,7427,Surat
153,Customized Bottle,501,915,Zaki,7,6349,Vadodra
153,Lippan Art,447,916,Jkl,8,6891,Vadodra
117,Photo Frames,345,913,Ghi,5,6028,Surat
110,Customized Bottle,205,919,Abc,5,500,Surat
144,Office Gifts,760,917,Def,12,5632,Ahmedabad
122,Customized Bottle,310,918,Naitik,11,1170,Surat
117,Photo Frames,416,920,Deep,3,5341,Matar
118,Phone Cases,170,911,Naitik,31,500,Surat
114,Sipper,657,918,Hriday,26,675,Ahmedabad
112,Visiting Card,503,914,Deep,13,848,Matar
134,Hoardings,529,912,Def,25,1659,Surat
136,Sipper,1298,911,Abc,2,1308,Ahmedabad
133,Customized Bottle,578,919,Dev,15,11772,Ahmedabad
121,Office Gifts,188,913,Ghi,13,1771,Surat
110,Visiting Card,1299,918,Dhyey,12,5201,Ahmedabad
137,Lightning Gift,724,915,Jkl,2,538,Vadodra
129,Office Gifts,1249,915,Zaki,9,25000,Nadiad
119,Sipper,502,917,Deep,8,6065,Ahmedabad
148,Phone Cases,826,921,Vishwam,2,1431,Vadodra
114,Visiting Card,555,912,Def,2,20698,Ahmedabad
150,Animal Toys,404,918,Abc,2,4447,Ahmedabad
148,Animal Toys,100,919,Dhruv,2,902,Surat
151,Show Piece,138,917,Dhruv,17,1993,Surat
156,Phone Cases,501,922,Zaki,2,500,Vadodra
163,Lippan Art,807,918,Def,5,2124,Ahmedabad
120,Photo Frames,503,916,Deep,2,676,Matar
135,Show Piece,509,914,Def,57,16648,Ahmedabad
110,Office Gifts,1299,917,Dev,67,653,Ahmedabad
112,Phone Cases,653,921,Vishwam,2,500,Ahmedabad
155,Sipper,205,916,Abc,2,20979,Ahmedabad
115,Animal Toys,495,916,Naitik,3,500,Ahmedabad
127,Lippan Art,556,913,Dev,14,6566,Ahmedabad
155,Banner Printing,261,913,Def,2,500,Surat
113,Photo Frames,435,918,Deep,2,24312,Matar
135,Lightning Gift,625,917,Vishwam,2,500,Ahmedabad
116,Phone Cases,443,913,Vishwam,2,806,Vadodra
135,Hoardings,261,916,Dhruv,16,6889,Surat
163,Animal Toys,613,918,Vishwam,2,621,Vadodra
133,Show Piece,530,921,Dhyey,14,1616,Surat
117,Hoardings,388,912,Naitik,5,5802,Surat
124,Customized Bottle,750,918,Deep,8,2244,Nadiad
153,Lightning Gift,778,917,Def,11,500,Ahmedabad
112,Hoardings,133,918,Dhruv,10,500,Surat
110,Hoardings,345,913,Dev,8,1966,Ahmedabad
120,Photo Frames,299,919,Dhruv,2,500,Matar
114,Lippan Art,418,915,Dhyey,4,2255,Kheda
153,Customized Bottle,495,911,Zaki,24,1304,Ahmedabad
163,Customized Bottle,344,920,Zaki,2,1095,Vadodra
136,Photo Frames,100,912,Dhruv,2,1836,Vadodra
158,Customized Bottle,406,913,Zaki,5,8876,Nadiad
141,Phone Cases,384,915,Jkl,53,4983,Vadodra
110,Show Piece,1067,913,Dhyey,2,500,Vadodra
114,Photo Frames,467,920,Ghi,2,503,Kheda
110,Hoardings,110,915,Abc,40,4068,Kheda
113,Photo Frames,351,912,Dhruv,2,15654,Surat
118,Sipper,435,914,Hriday,2,500,Vadodra
122,Animal Toys,300,914,Dhruv,100,4107,Surat
148,Sipper,629,912,Zaki,2,4519,Nadiad
148,Customized Bottle,480,922,Vishwam,6,25000,Nadiad
110,Banner Printing,864,916,Vishwam,7,1555,Ahmedabad
119,Photo Frames,436,912,Deep,2,18976,Matar
114,Lippan Art,563,918,Abc,69,1037,Kheda
110,Sipper,405,917,Zaki,9,3357,Ahmedabad
117,Animal Toys,100,912,Naitik,2,500,Surat
116,Banner Printing,476,912,Dev,6,20354,Surat
113,Banner Printing,100,916,Naitik,9,500,Surat
161,Lightning Gift,455,916,Vishwam,2,5085,Nadiad
114,Visiting Card,714,919,Deep,2,9465,Ahmedabad
120,Customized Bottle,116,913,Ghi,7,1923,Surat
114,Office Gifts,441,914,Jkl,2,14306,Nadiad
120,Animal Toys,519,917,Abc,9,9869,Surat
116,Office Gifts,100,911,Naitik,7,16253,Surat
150,Sipper,413,912,Hriday,2,3812,Matar
151,Sipper,456,912,Def,3,6863,Ahmedabad
121,Lightning Gift,527,912,Dhruv,11,6300,Surat
113,Customized Bottle,187,912,Naitik,26,500,Surat
117,Animal Toys,227,912,Dev,2,10813,Ahmedabad
120,Animal Toys,284,911,Naitik,2,2029,Surat
116,Sipper,655,913,Zaki,2,20507,Ahmedabad
160,Hoardings,100,911,Naitik,3,5081,Ahmedabad
110,Lippan Art,350,915,Dhruv,6,2869,Ahmedabad
144,Customized Bottle,343,921,Ghi,2,697,Vadodra
156,Banner Printing,286,912,Naitik,2,536,Vadodra
111,Office Gifts,493,911,Dhyey,2,4290,Ahmedabad
110,Photo Frames,100,919,Vishwam,2,500,Surat
145,Sipper,496,915,Hriday,2,1276,Surat
135,Sipper,529,918,Ghi,2,1870,Vadodra
110,Lippan Art,473,916,Def,2,1907,Ahmedabad
146,Lippan Art,670,922,Deep,2,500,Vadodra
146,Lippan Art,613,917,Ghi,2,5744,Ahmedabad
120,Lippan Art,474,918,Jkl,2,500,Kheda
125,Hoardings,290,916,Jkl,27,5464,Ahmedabad
151,Customized Bottle,432,920,Def,4,1980,Nadiad
116,Banner Printing,376,912,Dhyey,6,1550,Ahmedabad
110,Hoardings,267,913,Dhruv,70,500,Surat
147,Show Piece,487,921,Jkl,6,500,Ahmedabad
122,Banner Printing,445,916,Abc,2,1874,Matar
145,Visiting Card,689,920,Vishwam,2,14129,Ahmedabad
113,Banner Printing,303,918,Jkl,18,21211,Matar
145,Phone Cases,502,922,Vishwam,2,2427,Vadodra
122,Banner Printing,392,911,Zaki,12,6293,Nadiad
140,Lightning Gift,629,915,Abc,2,734,Vadodra
120,Photo Frames,429,918,Abc,2,500,Matar
118,Animal Toys,100,916,Dhyey,5,932,Nadiad
117,Banner Printing,452,912,Deep,13,1194,Ahmedabad
155,Customized Bottle,432,918,Zaki,7,826,Matar
114,Photo Frames,505,915,Deep,2,500,Matar
116,Phone Cases,565,913,Deep,6,897,Ahmedabad
110,Sipper,293,919,Dev,5,5993,Matar
115,Hoardings,104,913,Dhyey,9,991,Surat
150,Show Piece,584,917,Zaki,2,1049,Surat
115,Lippan Art,352,914,Ghi,4,1993,Surat
145,Lippan Art,636,917,Dev,2,4908,Ahmedabad
118,Customized Bottle,616,913,Zaki,3,6462,Surat
112,Lippan Art,373,913,Dhyey,3,500,Kheda
145,Lightning Gift,475,913,Jkl,10,500,Vadodra
111,Photo Frames,573,918,Deep,5,686,Vadodra
139,Office Gifts,545,918,Jkl,2,1340,Ahmedabad
114,Visiting Card,624,916,Def,2,5963,Ahmedabad
147,Show Piece,397,912,Abc,5,9976,Vadodra
121,Visiting Card,320,916,Abc,95,4154,Surat
153,Banner Printing,219,919,Def,2,500,Vadodra
113,Animal Toys,375,913,Dhyey,8,2333,Kheda
113,Lippan Art,1126,911,Naitik,12,6731,Surat
124,Lippan Art,100,917,Ghi,8,500,Kheda
110,Visiting Card,1299,917,Dev,4,4547,Ahmedabad
127,Hoardings,304,919,Dhruv,5,796,Surat
123,Phone Cases,666,915,Zaki,15,500,Ahmedabad
114,Sipper,519,919,Deep,6,758,Surat
146,Lightning Gift,541,919,Jkl,2,500,Vadodra
117,Visiting Card,177,911,Dev,5,6680,Surat
153,Visiting Card,273,917,Jkl,19,25000,Surat
134,Customized Bottle,252,914,Ghi,9,12801,Surat
155,Phone Cases,683,922,Jkl,2,1043,Vadodra
138,Visiting Card,737,917,Vishwam,2,500,Ahmedabad
126,Customized Bottle,513,917,Zaki,88,7268,Nadiad
139,Hoardings,100,916,Dhruv,39,704,Surat
147,Lightning Gift,476,917,Deep,5,500,Matar
114,Hoardings,100,913,Ghi,7,956,Surat
160,Lightning Gift,368,917,Ghi,2,2549,Kheda
114,Hoardings,118,914,Deep,5,12352,Surat
147,Photo Frames,374,914,Deep,2,500,Matar
163,Visiting Card,181,915,Deep,2,500,Matar
110,Lippan Art,1077,916,Dhyey,8,7606,Kheda
110,Hoardings,244,911,Vishwam,2,500,Vadodra
120,Banner Printing,172,916,Dhruv,8,1164,Surat
116,Visiting Card,1143,917,Dhyey,2,2260,Surat
141,Lightning Gift,541,922,Jkl,2,500,Vadodra
116,Hoardings,1299,914,Deep,2,500,Ahmedabad
110,Visiting Card,657,917,Dev,2,3833,Ahmedabad
116,Customized Bottle,147,917,Ghi,11,865,Matar
146,Office Gifts,481,916,Zaki,68,21958,Ahmedabad
114,Lightning Gift,406,919,Ghi,2,718,Surat
112,Customized Bottle,263,920,Dhruv,76,9396,Surat
117,Animal Toys,414,916,Naitik,2,500,Surat
115,Sipper,744,914,Hriday,2,19876,Ahmedabad
113,Hoardings,100,912,Dhruv,77,4777,Surat
117,Customized Bottle,618,918,Zaki,14,10815,Nadiad
144,Lightning Gift,612,915,Dhyey,33,1248,Surat
121,Lippan Art,1021,911,Ghi,13,3497,Surat
120,Lippan Art,249,918,Deep,14,1067,Vadodra
148,Phone Cases,504,914,Jkl,2,500,Vadodra
155,Customized Bottle,100,911,Naitik,4,15461,Nadiad
111,Sipper,669,916,Hriday,2,14902,Ahmedabad
131,Visiting Card,1268,919,Jkl,2,500,Vadodra
143,Phone Cases,547,913,Hriday,4,1184,Kheda
110,Hoardings,491,911,Abc,98,18162,Kheda
128,Sipper,100,918,Zaki,2,3221,Surat
115,Lippan Art,489,917,Zaki,26,11490,Nadiad
111,Lippan Art,506,914,Def,6,500,Vadodra
121,Photo Frames,476,916,Hriday,40,7914,Kheda
112,Animal Toys,292,914,Dhruv,2,1032,Vadodra
148,Lippan Art,311,919,Vishwam,3,500,Vadodra
110,Visiting Card,262,912,Naitik,20,3396,Surat
115,Animal Toys,100,917,Dhruv,5,500,Surat
110,Banner Printing,100,911,Dhruv,5,500,Surat
143,Hoardings,1210,917,Hriday,2,2133,Kheda
123,Phone Cases,566,920,Vishwam,5,500,Vadodra
111,Office Gifts,490,918,Deep,86,5566,Matar
110,Photo Frames,349,915,Zaki,4,779,Surat
149,Lightning Gift,565,916,Jkl,2,790,Vadodra
124,Animal Toys,195,922,Def,11,1439,Surat
163,Customized Bottle,586,914,Zaki,2,7559,Nadiad
111,Hoardings,339,922,Dhruv,14,1819,Surat
112,Hoardings,391,919,Naitik,6,500,Surat
110,Phone Cases,456,918,Vishwam,2,3853,Ahmedabad
136,Animal Toys,358,913,Jkl,2,8033,Ahmedabad
110,Hoardings,356,918,Vishwam,14,1566,Vadodra
110,Show Piece,603,917,Hriday,2,10221,Ahmedabad
112,Sipper,533,913,Deep,4,500,Matar
143,Show Piece,414,912,Abc,25,24708,Ahmedabad
112,Office Gifts,504,911,Abc,10,1493,Ahmedabad
116,Photo Frames,195,911,Dhruv,2,1048,Matar
132,Office Gifts,347,921,Dhruv,2,1382,Surat
122,Lightning Gift,433,920,Ghi,10,924,Surat
120,Photo Frames,581,913,Zaki,4,2076,Matar
142,Animal Toys,196,911,Hriday,2,6704,Ahmedabad
113,Banner Printing,100,915,Dhruv,10,500,Surat
147,Lippan Art,1172,917,Abc,5,882,Vadodra
110,Lippan Art,545,921,Dhyey,8,500,Vadodra
110,Visiting Card,489,915,Dev,2,7529,Ahmedabad
117,Office Gifts,1299,911,Dev,6,3112,Ahmedabad
118,Animal Toys,100,911,Dhruv,6,500,Surat
114,Lippan Art,332,919,Dev,6,1620,Ahmedabad
129,Animal Toys,373,916,Hriday,6,6820,Matar
150,Show Piece,585,919,Zaki,5,4979,Ahmedabad
145,Show Piece,537,917,Abc,2,986,Ahmedabad
117,Visiting Card,1299,915,Dhruv,15,857,Ahmedabad
115,Sipper,701,915,Def,7,500,Ahmedabad
161,Photo Frames,1193,912,Zaki,51,6107,Matar
145,Animal Toys,100,917,Naitik,11,1675,Surat
110,Office Gifts,661,916,Jkl,3,500,Ahmedabad
117,Animal Toys,299,921,Ghi,9,7325,Matar
123,Hoardings,434,917,Zaki,17,8747,Nadiad
143,Office Gifts,556,918,Def,2,23015,Surat
112,Hoardings,288,918,Ghi,7,8088,Kheda
158,Phone Cases,206,916,Vishwam,2,1099,Vadodra
118,Hoardings,100,914,Dhruv,4,684,Surat
115,Customized Bottle,395,913,Vishwam,2,1833,Ahmedabad
110,Sipper,533,920,Hriday,3,4761,Surat
115,Banner Printing,100,915,Dhruv,8,1168,Surat
115,Photo Frames,377,918,Zaki,8,25000,Ahmedabad
113,Animal Toys,351,915,Abc,2,500,Ahmedabad
112,Animal Toys,514,917,Zaki,2,15213,Ahmedabad
152,Sipper,225,922,Jkl,2,718,Nadiad
140,Lippan Art,725,917,Vishwam,2,500,Vadodra
121,Animal Toys,115,915,Naitik,2,500,Surat
110,Phone Cases,221,918,Dhruv,2,668,Surat
145,Show Piece,508,919,Ghi,2,500,Surat
114,Office Gifts,661,913,Dev,72,4360,Ahmedabad
122,Lightning Gift,554,918,Vishwam,2,1399,Vadodra
126,Sipper,373,912,Abc,6,5563,Ahmedabad
162,Show Piece,647,916,Def,2,1526,Ahmedabad
147,Show Piece,753,917,Dhyey,47,603,Ahmedabad
150,Lightning Gift,389,922,Jkl,2,962,Surat
121,Hoardings,100,911,Dev,11,1195,Surat
116,Show Piece,375,918,Abc,10,5702,Matar
122,Customized Bottle,100,917,Naitik,2,1538,Surat
111,Show Piece,437,920,Deep,2,859,Ahmedabad
154,Hoardings,168,914,Deep,7,500,Surat
163,Photo Frames,621,922,Jkl,2,1639,Nadiad
110,Lippan Art,335,918,Zaki,5,4229,Nadiad
111,Animal Toys,366,920,Naitik,24,5047,Kheda
117,Lippan Art,321,915,Abc,9,7789,Ahmedabad
117,Hoardings,211,913,Zaki,37,22725,Surat
118,Animal Toys,100,913,Dhruv,7,18936,Surat
113,Animal Toys,386,916,Def,5,3057,Ahmedabad
125,Hoardings,100,915,Naitik,9,500,Surat
115,Hoardings,502,915,Dhyey,9,500,Kheda
152,Office Gifts,710,917,Jkl,2,1921,Ahmedabad
152,Phone Cases,402,913,Deep,2,1868,Ahmedabad
120,Banner Printing,100,911,Naitik,8,1517,Surat
114,Photo Frames,568,918,Deep,3,1387,Matar
113,Visiting Card,613,911,Abc,2,5913,Ahmedabad
110,Hoardings,1299,913,Hriday,100,8734,Ahmedabad
152,Sipper,483,921,Vishwam,2,687,Vadodra
120,Customized Bottle,100,920,Dhruv,10,500,Surat
123,Banner Printing,263,916,Naitik,4,17338,Ahmedabad
110,Sipper,397,915,Naitik,5,713,Ahmedabad
122,Banner Printing,100,916,Ghi,12,500,Surat
119,Office Gifts,287,916,Abc,27,15988,Ahmedabad
121,Hoardings,222,911,Naitik,9,587,Vadodra
122,Phone Cases,601,918,Abc,2,1399,Kheda
147,Lightning Gift,645,916,Jkl,2,1416,Vadodra
114,Show Piece,610,919,Dhyey,3,1317,Matar
111,Office Gifts,649,917,Deep,2,12245,Ahmedabad
123,Animal Toys,610,917,Abc,72,8037,Ahmedabad
145,Sipper,700,918,Deep,2,8903,Vadodra
140,Customized Bottle,406,917,Zaki,28,4332,Kheda
120,Customized Bottle,155,920,Vishwam,2,500,Ahmedabad
113,Banner Printing,100,915,Zaki,4,1135,Surat
136,Office Gifts,403,917,Def,11,500,Nadiad
142,Hoardings,100,913,Naitik,2,1057,Vadodra
148,Phone Cases,517,921,Jkl,2,829,Surat
148,Sipper,1086,916,Hriday,2,500,Ahmedabad
126,Hoardings,100,919,Dhruv,24,1617,Surat
129,Customized Bottle,653,911,Zaki,37,7826,Nadiad
158,Lightning Gift,1299,916,Vishwam,2,1187,Vadodra
116,Office Gifts,1112,916,Naitik,4,1898,Surat
118,Phone Cases,423,919,Ghi,5,1081,Ahmedabad
110,Banner Printing,729,913,Dev,5,1024,Surat
123,Office Gifts,320,917,Def,4,500,Kheda
124,Banner Printing,507,914,Zaki,8,1859,Nadiad
145,Banner Printing,398,916,Hriday,5,5997,Ahmedabad
110,Sipper,493,916,Abc,3,654,Ahmedabad
110,Show Piece,409,921,Naitik,6,500,Surat
161,Show Piece,620,918,Zaki,15,981,Vadodra
121,Phone Cases,748,921,Jkl,2,500,Vadodra
112,Lippan Art,1299,912,Dhruv,13,3769,Ahmedabad
113,Hoardings,266,911,Vishwam,31,960,Nadiad
111,Lippan Art,1261,911,Dhyey,8,7874,Ahmedabad
157,Customized Bottle,489,919,Abc,2,4019,Ahmedabad
110,Customized Bottle,751,918,Hriday,2,907,Ahmedabad
148,Phone Cases,387,922,Deep,6,6616,Ahmedabad
113,Customized Bottle,1115,915,Abc,3,2357,Ahmedabad
141,Sipper,492,918,Dhyey,2,500,Ahmedabad
122,Office Gifts,378,913,Vishwam,2,1129,Vadodra
114,Lippan Art,633,921,Dhyey,9,4248,Kheda
117,Banner Printing,100,915,Dhruv,5,500,Surat
114,Customized Bottle,1299,919,Ghi,28,8766,Ahmedabad
116,Office Gifts,606,911,Deep,2,1054,Nadiad
113,Banner Printing,100,911,Dhruv,12,500,Surat
111,Hoardings,115,914,Jkl,6,766,Surat
120,Customized Bottle,351,915,Deep,43,2068,Ahmedabad
110,Hoardings,152,918,Abc,100,5163,Kheda
110,Hoardings,266,914,Dhruv,2,1198,Ahmedabad
118,Hoardings,100,916,Ghi,7,976,Surat
150,Animal Toys,340,914,Hriday,3,1089,Surat
110,Lippan Art,555,915,Dhruv,2,500,Surat
142,Visiting Card,1299,914,Abc,9,7877,Nadiad
120,Lippan Art,1262,921,Jkl,2,500,Surat
159,Customized Bottle,519,914,Zaki,15,6360,Ahmedabad
110,Visiting Card,1299,916,Dhruv,100,1865,Ahmedabad
127,Hoardings,100,921,Zaki,9,8083,Surat
110,Show Piece,551,920,Deep,2,862,Ahmedabad
120,Visiting Card,482,919,Abc,2,1966,Ahmedabad
145,Phone Cases,533,913,Jkl,25,21482,Ahmedabad
111,Show Piece,246,917,Ghi,2,500,Ahmedabad
133,Lightning Gift,603,922,Jkl,2,500,Vadodra
111,Photo Frames,429,916,Dev,2,500,Ahmedabad
110,Lippan Art,309,918,Dev,4,4996,Ahmedabad
124,Lippan Art,601,917,Deep,10,15420,Ahmedabad
159,Visiting Card,703,919,Vishwam,2,25000,Ahmedabad
163,Photo Frames,361,912,Vishwam,2,1636,Vadodra
115,Photo Frames,565,922,Jkl,2,500,Vadodra
111,Banner Printing,401,918,Naitik,56,894,Matar
146,Phone Cases,1299,913,Hriday,20,500,Ahmedabad
126,Lippan Art,338,916,Ghi,94,6517,Surat
144,Photo Frames,581,918,Def,82,937,Ahmedabad
162,Photo Frames,374,913,Dhruv,2,500,Vadodra
113,Show Piece,262,917,Hriday,2,500,Surat
144,Customized Bottle,327,918,Dhyey,40,25000,Kheda
158,Phone Cases,565,917,Vishwam,2,500,Vadodra
153,Sipper,644,914,Abc,2,19326,Ahmedabad
114,Hoardings,392,919,Dev,2,998,Ahmedabad
132,Show Piece,407,913,Dev,2,890,Surat
142,Lightning Gift,712,919,Dhyey,2,1922,Ahmedabad
144,Phone Cases,649,922,Jkl,2,763,Vadodra
116,Office Gifts,511,919,Dev,2,6136,Ahmedabad
123,Banner Printing,394,913,Deep,100,7479,Matar
116,Visiting Card,1067,913,Abc,9,17095,Ahmedabad
146,Photo Frames,381,915,Dhyey,2,500,Surat
135,Show Piece,676,915,Jkl,7,500,Vadodra
110,Lippan Art,691,918,Dhyey,13,1684,Kheda
121,Hoardings,100,914,Naitik,16,500,Surat
162,Customized Bottle,605,914,Dev,15,1576,Nadiad
112,Visiting Card,489,916,Dev,2,1558,Kheda
136,Customized Bottle,428,922,Vishwam,2,1250,Vadodra
114,Show Piece,547,911,Hriday,58,599,Ahmedabad
138,Photo Frames,729,916,Dhyey,69,19226,Vadodra
116,Animal Toys,123,922,Dhruv,14,7620,Surat
111,Office Gifts,834,916,Abc,6,1881,Ahmedabad
151,Photo Frames,388,917,Dev,2,1222,Ahmedabad
118,Animal Toys,215,912,Def,5,500,Ahmedabad
119,Hoardings,124,916,Ghi,7,10507,Ahmedabad
162,Phone Cases,708,922,Deep,2,1738,Matar
114,Animal Toys,100,911,Abc,2,909,Surat
116,Banner Printing,1068,913,Dhyey,89,500,Ahmedabad
110,Customized Bottle,100,916,Deep,2,743,Surat
114,Office Gifts,1299,916,Dev,8,25000,Ahmedabad
138,Lightning Gift,504,921,Hriday,2,500,Vadodra
113,Photo Frames,411,915,Jkl,26,5284,Ahmedabad
136,Show Piece,482,918,Dev,10,3677,Ahmedabad
146,Lightning Gift,447,920,Jkl,2,500,Vadodra
153,Customized Bottle,537,918,Vishwam,2,8232,Vadodra
153,Animal Toys,307,911,Jkl,2,1038,Ahmedabad
157,Banner Printing,173,915,Vishwam,2,722,Matar
117,Sipper,504,920,Dev,54,13405,Ahmedabad
157,Banner Printing,100,912,Dhruv,2,1575,Surat
110,Phone Cases,160,919,Deep,2,500,Surat
113,Office Gifts,1004,912,Deep,4,5055,Matar
114,Lippan Art,391,912,Dhyey,10,3019,Kheda
115,Phone Cases,691,916,Abc,2,1086,Ahmedabad
116,Visiting Card,313,913,Abc,4,16758,Ahmedabad
135,Sipper,230,919,Deep,2,500,Ahmedabad
110,Hoardings,100,920,Dhruv,21,724,Surat
124,Show Piece,221,921,Ghi,2,500,Surat
120,Customized Bottle,560,915,Jkl,2,694,Surat
111,Banner Printing,194,911,Zaki,6,577,Ahmedabad
136,Customized Bottle,443,922,Jkl,2,500,Vadodra
113,Hoardings,448,919,Dhruv,8,20310,Kheda
124,Banner Printing,100,919,Naitik,5,6295,Surat
114,Visiting Card,184,913,Abc,97,1834,Nadiad
148,Sipper,557,917,Vishwam,2,1460,Ahmedabad
150,Animal Toys,100,912,Naitik,10,651,Surat
112,Lippan Art,584,915,Dhyey,76,5484,Kheda
119,Photo Frames,351,916,Zaki,21,11851,Matar
116,Lippan Art,126,913,Dhruv,3,500,Surat
145,Animal Toys,488,919,Jkl,5,500,Kheda
115,Hoardings,374,911,Naitik,100,3124,Matar
112,Lippan Art,376,917,Abc,8,7191,Ahmedabad
110,Lippan Art,636,916,Dhyey,16,1524,Kheda
158,Customized Bottle,1133,915,Zaki,29,9765,Nadiad
116,Hoardings,226,913,Naitik,31,6227,Nadiad
160,Banner Printing,487,916,Def,2,500,Surat
